Timestamp, Namespace, Total CPU(mCPU), Max CPU(mCPU), Total Memory(MiB), Max Memory(MiB)
2025-03-10 14:16:16,istio-tenant-gateway,30,30m,32,32Mi
2025-03-10 14:16:21,nginx,37,37m,46,46Mi
2025-03-10 14:16:21,istio-system,2,2m,49,49Mi
2025-03-10 14:16:21,istio-tenant-gateway,30,30m,32,32Mi
2025-03-10 14:16:27,nginx,37,37m,46,46Mi
2025-03-10 14:16:27,istio-system,2,2m,49,49Mi
2025-03-10 14:16:27,istio-tenant-gateway,30,30m,32,32Mi
2025-03-10 14:16:32,nginx,38,38m,46,46Mi
2025-03-10 14:16:32,istio-system,2,2m,49,49Mi
2025-03-10 14:16:32,istio-tenant-gateway,32,32m,32,32Mi
2025-03-10 14:16:37,nginx,38,38m,46,46Mi
2025-03-10 14:16:37,istio-system,2,2m,49,49Mi
2025-03-10 14:16:37,istio-tenant-gateway,32,32m,32,32Mi
2025-03-10 14:16:42,nginx,41,41m,46,46Mi
2025-03-10 14:16:42,istio-system,2,2m,49,49Mi
2025-03-10 14:16:42,istio-tenant-gateway,32,32m,32,32Mi
2025-03-10 14:16:47,nginx,41,41m,46,46Mi
2025-03-10 14:16:47,istio-system,2,2m,49,49Mi
2025-03-10 14:16:47,istio-tenant-gateway,32,32m,32,32Mi
2025-03-10 14:16:52,nginx,41,41m,46,46Mi
2025-03-10 14:16:52,istio-system,2,2m,49,49Mi
2025-03-10 14:16:52,istio-tenant-gateway,32,32m,32,32Mi
2025-03-10 14:16:57,nginx,40,40m,46,46Mi
2025-03-10 14:16:57,istio-system,2,2m,49,49Mi
2025-03-10 14:16:57,istio-tenant-gateway,33,33m,32,32Mi
2025-03-10 14:17:02,nginx,40,40m,46,46Mi
2025-03-10 14:17:02,istio-system,2,2m,49,49Mi
2025-03-10 14:17:02,istio-tenant-gateway,33,33m,32,32Mi
2025-03-10 14:17:08,nginx,40,40m,46,46Mi
2025-03-10 14:17:08,istio-system,2,2m,49,49Mi
2025-03-10 14:17:08,istio-tenant-gateway,33,33m,32,32Mi
2025-03-10 14:17:13,nginx,38,38m,46,46Mi
2025-03-10 14:17:13,istio-system,1,1m,49,49Mi
2025-03-10 14:17:13,istio-tenant-gateway,32,32m,32,32Mi
